交易日期,北向资金
20191218,4483105500
20191219,3536369400
20191220,3715567100
20191223,1749150500
20191227,4680900900
20191230,4427976400
20191231,-162248100
20200102,10147051300
20200103,3360841300
20200106,4355208400
20200107,4506962400
20200108,1422950600
20200109,7550579900
20200110,2958240900
20200113,7710480200
20200114,3427957800
20200115,1044149600
20200116,3846496700
20200117,3521349000
20200120,4192997700
20200121,-7128018800
20200122,-763911300
20200123,-11761804800
20200203,18189392300
20200204,4920168800
20200205,-308137700
20200206,10557958000
20200207,-3299287500
20200210,-3272344900
20200211,1043523400
20200212,1485098500
20200213,791196600
20200214,4322748900
20200217,5362395400
20200218,-5390473800
20200219,3744624900
20200220,3897918200
20200221,-1120084400
20200224,-8705139000
20200225,-4831344600
20200226,-6726882400
20200227,-3940510800
20200228,-5136802600
20200302,4152009700
20200303,480283500
20200304,-780429300
20200305,4810610300
20200306,-3042103000
20200309,-14318877700
20200310,3095870800
20200311,-7465019900
20200312,-8380371400
20200313,-14726307300
20200316,-9807485100
20200317,-8238031200
20200318,-7191231100
20200319,-10220358400
20200320,1686636200
20200323,-7999254000
20200324,3987137200
20200325,2503869600
20200326,-1357513200
20200327,3413735400
20200330,-125686900
20200331,1649847300
20200401,4234995900
20200402,4331750600
20200403,-1943177700
20200407,12673750200
20200408,-3452695200
20200414,14228986200
20200415,3354399000
20200416,3814514800
20200417,8623628600
20200420,49931100
20200421,-2752515000
20200422,1178065500
20200423,691054900
20200424,3249756400
20200427,3938589200
20200428,1036685000
20200506,1140353000
20200507,-3148432700
20200508,4865056500
20200511,2647559800
20200512,1749948800
20200513,-204637000
20200514,-1324817000
20200515,1194376600
20200518,3403865000
20200519,3699049100
20200520,2038569300
20200521,2131166600
20200522,-3325498500
20200525,2145299800
20200526,3885484700
20200527,1288472000
20200528,2818281800
20200529,5107166300
20200601,10485628100
20200602,1928673400
20200603,4414204700
20200604,2883472300
20200605,4339459100
20200608,614232400
20200609,4628500600
20200610,422401900
20200611,145171000
20200612,-895004200
20200615,-4070187100
20200616,3970393600
20200617,-2721415300
20200618,4956568800
20200619,18233365400
20200622,2182381300
20200623,752481800
20200624,1855823200
20200629,-1446901100
20200702,17115074100
20200703,13193887400
20200706,13652212300
20200707,9843848500
20200708,1153303900
20200709,7951411300
20200710,-4393122300
20200713,6850351900
20200714,-17384150500
20200715,-2705616400
20200716,-6920353800
20200717,1043428300
20200720,-5898965500
20200721,-3011238300
20200722,4170255900
20200723,-3653611300
20200724,-16357393600
20200727,-1514313700
20200728,-2232800700
20200729,7731350800
20200730,-6338080300
20200731,-1903154800
20200803,-195279600
20200804,2136652400
20200805,-1981069300
20200806,-2547507900
20200807,-1862285900
20200810,7368600
20200811,3948207500
20200812,-1637744700
20200813,-2082177100
20200814,6429079800
20200817,5713420900
20200818,-2037716700
20200819,-6133626700
20200820,-2832480700
20200821,1126789300
20200824,1947318600
20200825,1738032400
20200826,-1177275300
20200827,-1004991700
20200828,6442783500
20200831,-8026020400
20200901,-299923100
20200902,-6614269100
20200903,-1003820000
20200904,-6317615700
20200907,-5465395600
20200908,6350660700
20200909,-3758161300
20200910,998865100
20200911,1290934600
20200914,-3143324700
20200915,3321168500
20200916,742013400
20200917,439006600
20200918,9473558200
20200921,-6495771600
20200922,-2001781800
20200923,-2752819100
20200924,-12167870900
20200925,-1292007900
20200928,-1078943400
20200929,-93944000
20200930,-2903913300
20201009,11266839200
20201012,13509985400
20201013,0
20201014,-1554680200
20201015,-333132800
20201016,-502880200
20201019,-3243045900
20201020,-1112515800
20201021,-6922409000
20201022,-2747806100
20201027,-4636906700
20201028,186371600
20201029,1786393900
20201030,-5673443200
20201102,3080457400
20201103,3121393900
20201104,235968800
20201105,10997137600
20201106,3980979100
20201109,19699172700
20201110,-4109791700
20201111,-929817700
20201112,-506801300
20201113,-4939723000
20201116,2589490100
20201117,53328800
20201118,-14180800
20201119,438481100
20201120,2443324000
20201123,10051179100
20201124,-137489500
20201125,-1568821800
20201126,6028941100
20201127,2476479600
20201130,4939444800
20201201,16292813100
20201202,-4024841000
20201203,3594416900
20201204,3738496900
20201207,-1160121500
20201208,6675647600
20201209,3889900900
20201210,1521612500
20201211,-3967826200
20201214,222829200
20201215,-350103200
20201216,1915416000
20201217,8057798400
20201218,-1362420300
20201221,7860744700
20201222,-3585691400
20201223,4338607100
20201228,-408148300
20201229,4471207000
20201230,6440075500
20201231,3078432100
20210104,-541919200
20210105,-4444369400
20210106,235913200
20210107,3263060300
20210108,20614614800
20210111,893579400
20210112,8444846000
20210113,2712154700
20210114,5107042300
20210115,801347000
20210118,1636590800
20210119,918465900
20210120,3394247800
20210121,5677912900
20210122,-2019771500
20210125,1931001200
20210126,-3541196800
20210127,-1254720700
20210128,-6404564800
20210129,2532833300
20210201,3459214200
20210202,3280861500
20210203,3422978100
20210204,6770573100
20210205,8392535000
20210208,7929706600
20210209,2623610300
20210210,-1780182000
20210218,5073477800
20210219,9552629700
20210222,-1113943500
20210223,650770700
20210224,-673240500
20210225,-732449900
20210226,-5632051500
20210301,3786462900
20210302,-6790623900
20210303,9010296800
20210304,-7369137000
20210305,526698200
20210308,-8588846400
20210309,2431037100
20210310,5225020500
20210311,6719407500
20210312,827137300
20210315,3686982800
20210316,5572375200
20210317,164731500
20210318,3315417700
20210319,-4031581500
20210322,7163110100
20210323,-7183913400
20210324,5005762200
20210325,2748516000
20210326,6430130500
20210329,-5842465600
20210330,3807219300
20210331,-7903152600
20210407,-2815824200
20210408,-1702924000
20210409,-807149200
20210412,4304216800
20210413,8471042200
20210414,5731388000
20210415,-950099200
20210416,7152563500
20210419,16315679500
20210420,-497485000
20210421,-1056708400
20210422,-1596684300
20210423,7859464300
20210426,3204103600
20210427,3512348600
20210428,2007913800
20210429,5087640000
20210430,-1612193400
20210506,184296000
20210507,380439900
20210510,4526680000
20210511,-4780763400
20210512,-428115700
20210513,-5639519200
20210514,9033539900
20210517,2578022900
20210520,-1524570300
20210521,-578305200
20210524,1886230800
20210525,21723322400
20210526,9103248100
20210527,14627351800
20210528,-526252300
20210531,5210798500
20210601,1102657400
20210602,-2013823100
20210603,1521148900
20210604,3066969200
20210607,-3971775800
20210608,300825700
20210609,2813727400
20210610,6820302200
20210611,-3032063400
20210615,-5153685200
20210616,-405170800
20210617,1593700200
20210618,-1039811400
20210621,-2009131800
20210622,-2412940400
20210623,8198483500
20210624,3097176200
20210625,14103051700
20210628,-4055307700
20210629,-3139218100
20210702,-8602515700
20210705,5918954100
20210706,-60161400
20210707,4372673200
20210708,-1701060600
20210709,-211234100
20210712,1642055900
20210713,2578784300
20210714,-10805853200
20210715,12398170400
20210716,-4144437700
20210719,4374140700
20210720,3063826400
20210721,3117174200
20210722,5926644800
20210723,-4659499400
20210726,-12801729600
20210727,-4171891100
20210728,8052824600
20210729,4227956900
20210730,2247150800
20210802,5183854200
20210803,1799154900
20210804,5545735500
20210805,-1965320600
20210806,-474394800
20210809,4466126200
20210810,1041714900
20210811,-2815265800
20210812,-178323000
20210813,-1238092300
20210816,6201608800
20210817,1474110500
20210818,3432515200
20210819,-10783123000
